Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2018-01-02,52.935340881347656,53.03176782082792,51.95268332272792,52.10726297248544,24752000
2018-01-03,53.80418014526367,53.99355283662223,52.846372525964156,52.90104783262457,28604000
2018-01-04,53.9990234375,54.355406490948376,53.879832173995005,54.0785525386494,20092000
2018-01-05,54.78584671020508,54.88625163185059,54.27736785200051,54.376779228702446,25582000
2018-01-08,55.01995086669922,55.23517088579156,54.75552383192969,54.78584211879306,20952000
2018-01-09,54.98615264892578,55.20037912809896,54.73618889120471,55.14222641518172,18050000
2018-01-10,54.80473327636719,54.90364408453508,54.48165295111779,54.53085996897565,20856000
2018-01-11,54.949371337890625,54.999321616205805,54.654622223684285,54.98813854827751,19566000
2018-01-12,55.78142547607422,55.88232716555062,54.73216242863382,54.79478988660521,34410000
2018-01-16,55.75657653808594,56.658711530371455,55.561337377625144,56.29089892688357,31506000
2018-01-17,56.264556884765625,56.29537573909894,55.520478934352155,55.978260459811544,24052000
2018-01-18,56.155696868896484,56.290894810816944,55.54482985245587,56.23621950714228,23964000
2018-01-19,56.5394172668457,56.55681567800188,56.081639586039074,56.25709505408053,35564000
2018-01-22,57.449012756347656,57.651309108593985,56.42012879138082,56.53842509678936,32360000
2018-01-23,58.152828216552734,58.23518625829436,57.59514239407146,57.64981769777487,26662000
2018-01-24,57.86802291870117,58.64440617428538,57.70946529425928,58.518654490938076,28332000
2018-01-25,58.17271041870117,58.44956434383563,57.79445803719718,58.28007014413136,29610000
2018-01-26,58.44459915161133,58.44459915161133,57.5633361565859,58.40682548269365,40376000
2018-01-29,58.431671142578125,58.99383172740033,58.25273446863453,58.47640720714203,27578000
2018-01-30,57.8406867980957,58.4783947197528,57.832234082266766,58.04646056167837,31126000
2018-01-31,58.15134048461914,58.30343628004366,57.614033684033096,58.18265231724157,30774000
2018-02-01,58.040000915527344,58.35314200507447,57.53400972293672,57.787007215310126,48242000
2018-02-02,55.26648712158203,55.82168530469034,55.036750726948796,55.768500316827094,97158000
2018-02-05,52.47806167602539,55.17204721553119,52.290676079751215,54.2077777894455,75966000
2018-02-06,53.710731506347656,53.765903583065636,50.85455929036226,51.05551700989734,68960000
2018-02-07,52.11919403076172,53.76938481693409,52.10328593659845,53.75745469435063,47384000
2018-02-08,49.78009796142578,52.61822713080953,49.73735277923916,52.45867596018143,57182000
2018-02-09,51.5823860168457,51.890058808692636,49.334744767677535,50.56195094362261,70118000
2018-02-12,52.28620529174805,52.761381434495085,51.73885683066764,52.09037075710264,41154000
2018-02-13,52.29415512084961,52.60580209446447,51.89587254869487,51.94125328088986,25302000
2018-02-14,53.1689567565918,53.26935788279851,52.02823826534535,52.13758508790807,31116000
2018-02-15,54.15410232543945,54.2514735193929,52.9025391033965,53.63468690280448,36868000
2018-02-16,54.416542053222656,54.90712571041207,54.09410639200934,54.09893001463584,33590000
2018-02-20,54.797271728515625,55.36837416857002,54.104388000422595,54.206283223988585,28462000
2018-02-21,55.23865509033203,56.36346928239458,54.98963557166085,54.99659417821759,30258000
2018-02-22,55.004547119140625,55.809261628986505,54.803741071027396,55.47972325380399,26344000
2018-02-23,56.006587982177734,56.030941208403036,54.909308665076686,55.303268173967126,25220000
2018-02-26,56.849578857421875,56.86001866345645,56.00186888270813,56.056790681036766,31182000
2018-02-27,55.58409881591797,56.863989378966615,55.56968483105783,56.72481725469212,35482000
2018-02-28,54.91010665893555,56.043369778771314,54.83604584884603,55.81970082328232,37652000
2018-03-01,53.16000747680664,55.178010819895306,53.034801865667795,55.06617635043728,50318000
2018-03-02,53.627227783203125,53.78026781904391,52.0960803700821,52.342862499883886,45432000
2018-03-05,54.224185943603516,54.530861409564594,53.134164766527455,53.43934991509265,24044000
2018-03-06,54.42945861816406,54.76695291093001,54.166772185275796,54.636229711979155,30656000
2018-03-07,55.15415573120117,55.28239507904359,53.953396000330144,54.13769858614465,25850000
2018-03-08,55.96731948852539,56.04684858442202,55.31121961600219,55.43647452909898,27102000
2018-03-09,57.65925979614258,57.6970372529327,56.288459915309026,56.464362857556225,42560000
2018-03-12,57.880943298339844,58.504737788377454,57.52903501557917,57.848637921548736,43446000
2018-03-13,56.57222366333008,58.49032266564269,56.33165308481355,58.15431869159743,38144000
2018-03-14,57.13488006591797,57.587193276350874,56.73475829982581,56.922147693279165,25828000
2018-03-15,57.13935470581055,57.71095776949254,56.391799391780054,57.15824343528717,27908000
2018-03-16,56.450950622558594,57.45249705529943,56.263565005098236,57.366013135928384,61840000
2018-03-19,54.66605758666992,55.76800505925736,54.128750780962,55.66959102414008,56118000
2018-03-20,54.56118392944336,54.93346749322289,53.85289256861122,54.62530170738803,36638000
2018-03-21,54.22169876098633,54.988142838482595,53.936892657488386,54.31415153052297,37578000
2018-03-22,52.144046783447266,53.82505650974358,51.986486488021995,53.77435917431937,53340000
2018-03-23,50.776676177978516,52.85382975486176,50.75928155733559,52.04215663464983,43134000
2018-03-26,52.349327087402344,52.4696142790231,50.12206487418087,51.990956959100444,53302000
2018-03-27,49.958045959472656,52.92734609365107,49.551462332312624,52.835939957039656,61906000
2018-03-28,49.93119812011719,50.90888414922019,48.742266258926385,49.60513718627873,67386000
2018-03-29,51.2846565246582,51.841845605518074,49.84869214874304,50.28261340324494,54536000
2018-04-02,50.0261344909668,51.43426432795951,49.22589102097613,50.838801063360435,53608000
2018-04-03,50.37108612060547,50.747844398443256,49.4097973404882,50.39593611853879,45502000
2018-04-04,50.95412063598633,51.13196517236196,49.35661800013234,49.37699704696766,49694000
